Property Type,Check-in,Check-out,Name,Price,Score,Average Review,Reviews Count,Location,Image URL,Image Path
home,2025-09-17,2025-09-19,Karakorum Family Guest House Hunza,US$106,Scored 8.5,,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/482620731.webp?k=fbf036480e3ad3c3d271f61ed26d83e43dfd3e22e0af1462e5583dfaae6d168c&o=,images_home\Karakorum_Family_Guest_House_Hunza_2025-09-17.jpg
home,2025-09-17,2025-09-19,"Haven Resort Bhurban, Murree",US$549,Scored 7.2,,,Bhurban,https://cf.bstatic.com/xdata/images/hotel/square240/492174498.webp?k=4524b6c50397f5ef9963cc2b26284a99618633e1040aefdb7312a87634c06e44&o=,images_home\Haven_Resort_Bhurban__Murree_2025-09-17.jpg
home,2025-09-17,2025-09-19,One bedroom Townhouse at New Metro City,US$71,,,,Kariāla Railroad Station,https://cf.bstatic.com/xdata/images/hotel/square240/728336141.webp?k=0a7255da0b1e56e9202b0718ca9b8d44b05b7b24e8dfb1ff95663a1d137be9b9&o=,images_home\One_bedroom_Townhouse_at_New_Metro_City_2025-09-17.jpg
home,2025-09-17,2025-09-19,Fully Serviced Holiday Homes Near Emporium Mall & Expo Center,US$99,Scored 7.7,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/587500069.webp?k=cdf4863682f52db8a77b3f112e9656afe8b8f64936922b6e265e042a41398557&o=,images_home\Fully_Serviced_Holiday_Homes_Near_Emporium_Mall___Expo_Center_2025-09-17.jpg
home,2025-09-17,2025-09-19,Roof Top Resort,US$76,Scored 9.1,,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/520240276.webp?k=a08b914fc40dd774cef0bf253e3b4cf8a33b6782abfe167c2ac759e1a24fd88f&o=,images_home\Roof_Top_Resort_2025-09-17.jpg
home,2025-09-17,2025-09-19,Peaceful Private Cottage in Khaira Gali Galyat Murree,US$182,Scored 8.7,,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/362695824.webp?k=a62c1426442b40aaac416624bdfe982adec7c6d34e692d131fc2f895f6c0517a&o=,images_home\Peaceful_Private_Cottage_in_Khaira_Gali_Galyat_Murree_2025-09-17.jpg
home,2025-09-17,2025-09-19,Designer Suite Centrally Located,US$105,,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/728247770.webp?k=554a9702bc63f485bed075bc5c99f6b966bc4566b403ca9552090593fa946363&o=,images_home\Designer_Suite_Centrally_Located_2025-09-17.jpg
home,2025-09-17,2025-09-19,Luxury Dream Vacation Home in DHA Near Lahore Airport,US$142,Scored 8.6,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/557377410.webp?k=c0d6db3a0453177bf3a1a7f85ac521811fa072330f8cca192c79e8647a245dfa&o=,images_home\Luxury_Dream_Vacation_Home_in_DHA_Near_Lahore_Airport_2025-09-17.jpg
home,2025-09-17,2025-09-19,"Spacious 6BR DHA Home, Private - Ideal for Events",US$127,,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/728367371.webp?k=3b1ff7f0bd885e7a7b22259a3c73b101bfd2c567db4e68127793c47de45569d8&o=,images_home\Spacious_6BR_DHA_Home__Private_-_Ideal_for_Events_2025-09-17.jpg
home,2025-09-17,2025-09-19,Apna Farmhouse 1,US$382,,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/695021553.webp?k=9e4940cb5cb9ad3d0eaf7e30c42a2fb907c7378f4a9a17ff6c1db5e9d803b267&o=,images_home\Apna_Farmhouse_1_2025-09-17.jpg
home,2025-09-17,2025-09-19,frank inn guest house,US$18,Scored 9.5,,,"G-9 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/642369661.webp?k=cc62bef0e83fc3e94841a340aa623c4400da16f95e5f0d296a7438736d0807a1&o=,images_home\frank_inn_guest_house_2025-09-17.jpg
home,2025-09-17,2025-09-19,Vip homes jhelum,US$106,Scored 9.4,,,Jhelum,https://cf.bstatic.com/xdata/images/hotel/square240/565400145.webp?k=6ea8e447b0ad7388e168989011875c35081882c1752a79e9d547324efb133970&o=,images_home\Vip_homes_jhelum_2025-09-17.jpg
home,2025-09-24,2025-09-26,Swiss Cottage Bhurban,US$201,Scored 9.0,,,Bhurban,https://cf.bstatic.com/xdata/images/hotel/square240/551983727.webp?k=33c0fb950312c8ae99561b5393006e0627c3911865f4dfd41e6854266cee8ff7&o=,images_home\Swiss_Cottage_Bhurban_2025-09-24.jpg
