Property Type,Check-in,Check-out,Name,Price,Score,Average Review,Reviews Count,Location,Image URL,Image Path
apartment,2025-12-31,2026-01-02,Spacious 2-BHK SkyPark One,US$143,,8.8,Fabulous,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/700781700.webp?k=a33637dfe7911e7e61eebd3176e6b58cdee5ea90be74fe86990dd04c5d9861d9&o=,images_apartment\Spacious_2-BHK_SkyPark_One_2025-12-31.jpg
apartment,2025-12-31,2026-01-02,LDS Mall Luxurious Penthouse - Jhang,US$120,,7.0,Good,Jhang Sadr,https://cf.bstatic.com/xdata/images/hotel/square240/586522779.webp?k=48898970ccd586a8a4cd8b3dfe751098cccf4b83569e4e9ec15f1fc6690e5c5c&o=,images_apartment\LDS_Mall_Luxurious_Penthouse_-_Jhang_2025-12-31.jpg
apartment,2025-12-31,2026-01-02,Gold Crest Signature Family Apartments DHA Lahore,US$132,,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/706689897.webp?k=f53d00ad2a17fca50e26bc00cd21b8d5eec089ecb58f3829e7e4a56052cda943&o=,images_apartment\Gold_Crest_Signature_Family_Apartments_DHA_Lahore_2025-12-31.jpg
apartment,2025-12-31,2026-01-02,Luxurious 2 Bed Apartment,US$59,,7.2,Good,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/726971923.webp?k=c6f0dde996fe7e913854fbe81e2885a76c672787945dfcaec885a0570816341a&o=,images_apartment\Luxurious_2_Bed_Apartment_2025-12-31.jpg
apartment,2026-02-18,2026-02-20,Mount Vista Luxury Apartments,US$99,,8.3,Very,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/687086102.webp?k=72a16cba8227dea1443bb4710896df1ec12443d9cad0bfdba019d0b56933dc08&o=,images_apartment\Mount_Vista_Luxury_Apartments_2026-02-18.jpg
apartment,2026-05-06,2026-05-08,Mehar Heights,US$37,,8.4,Very,Rāmkot,https://cf.bstatic.com/xdata/images/hotel/square240/618316489.webp?k=0e6815414312dbe0fc690f3005659d629575c28cfd1ff123470ac5d2878cc69c&o=,images_apartment\Mehar_Heights_2026-05-06.jpg
apartment,2026-06-03,2026-06-05,Premium One Bed Apartment Bharia Town Rawalpindi,US$48,,,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/657727421.webp?k=d806f74843ac05c9a1faf725cfaa79bec0906602d1c1a030890f50cca9095a0f&o=,images_apartment\Premium_One_Bed_Apartment_Bharia_Town_Rawalpindi_2026-06-03.jpg
apartment,2026-08-05,2026-08-07,2 BR Apartment At Emaar Karachi,US$283,,,,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/725892765.webp?k=6145064a121e964cba4cf8d236347d31d3cdeac2f0abc455cb35d9898417f9a2&o=,images_apartment\2_BR_Apartment_At_Emaar_Karachi_2026-08-05.jpg
apartment,2026-08-05,2026-08-07,Mövenpick Hotel Karachi,US$842,,7.3,Good,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/376266891.webp?k=0c8a4e2f840336e7fe6f44860f38c3ece402a4a1f39916f8f8f06669ba1845b9&o=,images_apartment\M_venpick_Hotel_Karachi_2026-08-05.jpg
apartment,2026-08-05,2026-08-07,The LC Hotel,US$370,,9.6,Exceptional,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/699643100.webp?k=5efb2bfd9127d539df8c73959f1a79e7da4d2c1fc353eaeb8b010bb1557eb966&o=,images_apartment\The_LC_Hotel_2026-08-05.jpg
apartment,2026-08-12,2026-08-14,Centaurus Apartments Islamabad,US$272,,8.9,Fabulous,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/602646885.webp?k=b8fa1a0e4bcf9c34030aa6d68bf1b075c3ed66a06a8296ae2e5bc60f5d11d1b1&o=,images_apartment\Centaurus_Apartments_Islamabad_2026-08-12.jpg
apartment,2026-08-12,2026-08-14,Hayyat Luxury Hotel Suites,US$65,,8.9,Fabulous,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/465234573.webp?k=caae1a8a28fffeba3119083562e4a220ab07fdbeb6a8d0651f4f7bb03d7ff8ea&o=,images_apartment\Hayyat_Luxury_Hotel_Suites_2026-08-12.jpg
apartment,2026-08-12,2026-08-14,Luxury Apartments - Elysium Opposite to Centaurus Mall,US$168,,9.0,Superb,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/593412750.webp?k=08a16fa974292fe27dc99ce8cdce4711c9f64e2d522eb4f0e8deb9e0447eebf6&o=,images_apartment\Luxury_Apartments_-_Elysium_Opposite_to_Centaurus_Mall_2026-08-12.jpg
apartment,2026-08-12,2026-08-14,Airreside Gulberg Retreat at Zameen Aurum,US$147,,8.7,Fabulous,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/667473939.webp?k=2e398ca86307586bc375868d6eff4124c090658fe43089e3b49bed9c0789fca6&o=,images_apartment\Airreside_Gulberg_Retreat_at_Zameen_Aurum_2026-08-12.jpg
apartment,2026-08-12,2026-08-14,Luxury Centaurus Apartments Islamabad,US$375,,9.4,Superb,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/671780563.webp?k=5fc712b0ab4d67cfe4baf004e54726535ce46c9598b6ff803d8d0c75f3ca499b&o=,images_apartment\Luxury_Centaurus_Apartments_Islamabad_2026-08-12.jpg
apartment,2026-08-12,2026-08-14,P house,US$48,,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/720726755.webp?k=0e5fbe11ad30e37171d04e72fe658c31d46f97c842a3b7c25c2c721b82336e41&o=,images_apartment\P_house_2026-08-12.jpg
