City,Property Type,Name,Rating,Reviews Count,Location,Image URL,Image Path
Kasur,apartment,GOLDCREST MALL & RESIDENCY - DELUXE ONE BED SUITE By ALVIS SUITE,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/728382589.webp?k=a5b6386ca9c7af6475352338a90d15c0efb267d2b9d531badefb33c111ed8db8&o=,images_apartment\GOLDCREST_MALL___RESIDENCY_-_DELUXE_ONE_BED_SUITE_By_ALVIS_SUITE.jpg
Kasur,apartment,Vintage Penthouse Suite By Alvis Suite - Goldcrest Mall and Residency,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/728371594.webp?k=bcc000bb32e794b051ca4b00a0fcb316b3ec9c3cb97ed621d5aa9ad94b1ede60&o=,images_apartment\Vintage_Penthouse_Suite_By_Alvis_Suite_-_Goldcrest_Mall_and_Residency.jpg
Kasur,apartment,The 23 Parkview Apartments,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/718977140.webp?k=c5c410c19d26393cc13e06a68de5bc7c0cc6fd4d6d0b1b5b24b8201f81d51a77&o=,images_apartment\The_23_Parkview_Apartments.jpg
Kasur,apartment,VINTAGE PENTHOUSE SUITE By ALVIS SUITE,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/728340758.webp?k=e1fc4ce52a4285bde014f7c6b7b70a41102cc04f149d467b033d17d9ca14fed8&o=,images_apartment\VINTAGE_PENTHOUSE_SUITE_By_ALVIS_SUITE.jpg
Kasur,apartment,"Sageview Studio, Near Expo, SHMCH",,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/728292121.webp?k=f6856de07d50adcb0bc515e646bdfc8c8bba81413a97650f218bf538a2dac481&o=,images_apartment\Sageview_Studio__Near_Expo__SHMCH.jpg
Kasur,apartment,باكستان,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/693469344.webp?k=6fb605f26e25ce9b92df4a7f4a99e4d289743fbbf32522b5b3db2e87087e4af0&o=,images_apartment\_______.jpg
Kasur,apartment,Stylish & Cozy 2BR Apartment,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/693656658.webp?k=bb1e0b8cdfffe65c03ab8e84bffd0a7d93d26431692722d3b132d380320b7666&o=,images_apartment\Stylish___Cozy_2BR_Apartment.jpg
Kasur,apartment,Penta Square 1 bedroom Quzi Apartment,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/651620090.webp?k=12aba4230812b3a284656c9d74a43469ebe2498c79cf5d1905e502b21ed4d37e&o=,images_apartment\Penta_Square_1_bedroom_Quzi_Apartment.jpg
Sheikhupura,apartment,Private and secure,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/718365812.webp?k=06656a23057f0e36139fbfe338894e9076ed7395d68dcc4065a984da8ccf3bc2&o=,images_apartment\Private_and_secure.jpg
Sheikhupura,apartment,Saad Cottage,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/714735851.webp?k=df5d0614b452017be411b9d8b42ba489e2d64122b7e2f49169478464a0422a79&o=,images_apartment\Saad_Cottage.jpg
Sheikhupura,apartment,Elites Residency- Serviced Apartments building,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/637518338.webp?k=2f3d97aa71df58abd7c3fd2545549d2e514ede9236d449021c1872da42fed926&o=,images_apartment\Elites_Residency-_Serviced_Apartments_building.jpg
Sheikhupura,apartment,Nexus Studio Apartment,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/708564894.webp?k=33dab2e6dccc6f7d44f07ea2bbd084efe4736dad9d06c2a27c3f35593233a194&o=,images_apartment\Nexus_Studio_Apartment.jpg
Sheikhupura,apartment,DHA apartment outdoor view phase 3 Lahore,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/720470449.webp?k=4c4cbf0f1bf11bc047eb914ba02e0849e0e3734f9f467a47c51c9fc6c3b4b0db&o=,images_apartment\DHA_apartment_outdoor_view_phase_3_Lahore.jpg
Sheikhupura,apartment,116 Apartments Luxestay CBD,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/726786662.webp?k=656ee94ac5fe730de52063af61f86f73f5f290ca8b4560355401b8e30363cf47&o=,images_apartment\116_Apartments_Luxestay_CBD.jpg
Sheikhupura,apartment,Perfect Place for Family in Lahore,9.1,9,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/717816824.webp?k=8b9ece0e48d7ae27c94aec4d2e076bc1767bd80a312e107abf82e012f3e611aa&o=,images_apartment\Perfect_Place_for_Family_in_Lahore.jpg
